Complaint Year,Month,Patrol Borough Name,County,Offense Description,Bias Motive Description,Offense Category,General Offense Description
2019,3,PATROL BORO MAN SOUTH,NEW YORK,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2019,8,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI RACE/COLOR,Race/Color,ASSAULT 3 & RELATED OFFENSES
2019,10,PATROL BORO MAN SOUTH,NEW YORK,CRIMINAL MISCHIEF & RELATED OF,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,CRIMINAL MISCHIEF & RELATED OF
2019,6,PATROL BORO MAN NORTH,NEW YORK,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2019,11,PATROL BORO MAN NORTH,NEW YORK,FELONY ASSAULT,ANTI-FEMALE HOMOSEXUAL (LESBIAN),Sexual Orientation,FELONY ASSAULT
2019,8,PATROL BORO MAN SOUTH,NEW YORK,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2019,12,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice,FELONY ASSAULT
2020,1,PATROL BORO MAN SOUTH,NEW YORK,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2020,1,PATROL BORO MAN SOUTH,NEW YORK,OFF. AGNST PUB ORD SENSBLTY &,ANTI-JEWISH,Religion/Religious Practice,OFF. AGNST PUB ORD SENSBLTY &
2020,1,PATROL BORO MAN NORTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-LGBT (MIXED GROUP),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2019,11,PATROL BORO MAN NORTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-HISPANIC,Ethnicity/National Origin/Ancestry,ASSAULT 3 & RELATED OFFENSES
2020,2,PATROL BORO MAN NORTH,NEW YORK,OFF. AGNST PUB ORD SENSBLTY &,ANTI-BLACK,Race/Color,OFF. AGNST PUB ORD SENSBLTY &
2020,1,PATROL BORO MAN NORTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-LGBT (MIXED GROUP),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2020,2,PATROL BORO MAN SOUTH,NEW YORK,OFF. AGNST PUB ORD SENSBLTY &,ANTI-WHITE,Race/Color,OFF. AGNST PUB ORD SENSBLTY &
2020,3,PATROL BORO MAN NORTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2020,3,PATROL BORO MAN NORTH,NEW YORK,MISCELLANEOUS PENAL LAW,ANTI-ASIAN,Race/Color,MISCELLANEOUS PENAL LAW
2020,3,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2020,3,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2020,3,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2020,5,PATROL BORO MAN SOUTH,NEW YORK,MISCELLANEOUS PENAL LAW,ANTI-ASIAN,Race/Color,MISCELLANEOUS PENAL LAW
2020,6,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,FELONY ASSAULT
2020,5,PATROL BORO MAN SOUTH,NEW YORK,ROBBERY,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ROBBERY/BURGLARY
2020,8,PATROL BORO MAN NORTH,NEW YORK,ROBBERY,ANTI-WHITE,Race/Color,ROBBERY/BURGLARY
2019,12,PATROL BORO MAN SOUTH,NEW YORK,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Unclassified,MISCELLANEOUS PENAL LAW
2020,5,PATROL BORO MAN SOUTH,NEW YORK,OFF. AGNST PUB ORD SENSBLTY &,ANTI-ASIAN,Race/Color,OFF. AGNST PUB ORD SENSBLTY &
2020,10,PATROL BORO MAN SOUTH,NEW YORK,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2020,10,PATROL BORO MAN SOUTH,NEW YORK,OFF. AGNST PUB ORD SENSBLTY &,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,OFF. AGNST PUB ORD SENSBLTY &
2020,11,PATROL BORO MAN NORTH,NEW YORK,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2020,12,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,FELONY ASSAULT
2020,12,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-BLACK,Race/Color,FELONY ASSAULT
2020,12,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2020,11,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2020,12,PATROL BORO MAN SOUTH,NEW YORK,ROBBERY,ANTI-ASIAN,Race/Color,ROBBERY/BURGLARY
2021,2,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-TRANSGENDER,Gender,ASSAULT 3 & RELATED OFFENSES
2021,1,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2020,1,PATROL BORO MAN SOUTH,NEW YORK,SEX CRIMES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,OTHER FELONY
2021,2,PATROL BORO MAN NORTH,NEW YORK,GRAND LARCENY,ANTI-JEWISH,Religion/Religious Practice,GRAND LARCENY
2021,2,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-ASIAN,Race/Color,FELONY ASSAULT
2021,2,PATROL BORO MAN NORTH,NEW YORK,OFF. AGNST PUB ORD SENSBLTY &,ANTI-JEWISH,Religion/Religious Practice,OFF. AGNST PUB ORD SENSBLTY &
2021,3,PATROL BORO MAN NORTH,NEW YORK,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,1,PATROL BORO MAN NORTH,NEW YORK,OFF. AGNST PUB ORD SENSBLTY &,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry,OFF. AGNST PUB ORD SENSBLTY &
2021,3,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-ASIAN,Race/Color,FELONY ASSAULT
2021,3,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2021,3,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-ASIAN,Race/Color,FELONY ASSAULT
2021,3,PATROL BORO MAN NORTH,NEW YORK,OFF. AGNST PUB ORD SENSBLTY &,ANTI-JEWISH,Religion/Religious Practice,OFF. AGNST PUB ORD SENSBLTY &
2021,3,PATROL BORO MAN SOUTH,NEW YORK,MISCELLANEOUS PENAL LAW,ANTI-ASIAN,Race/Color,MISCELLANEOUS PENAL LAW
2021,3,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2021,3,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-ASIAN,Race/Color,FELONY ASSAULT
2021,4,PATROL BORO MAN SOUTH,NEW YORK,OFF. AGNST PUB ORD SENSBLTY &,ANTI-ASIAN,Race/Color,OFF. AGNST PUB ORD SENSBLTY &
2021,4,PATROL BORO MAN NORTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2021,4,PATROL BORO MAN SOUTH,NEW YORK,OFF. AGNST PUB ORD SENSBLTY &,ANTI-ASIAN,Race/Color,OFF. AGNST PUB ORD SENSBLTY &
2020,12,PATROL BORO MAN SOUTH,NEW YORK,ROBBERY,ANTI-ASIAN,Race/Color,ROBBERY/BURGLARY
2021,4,PATROL BORO MAN SOUTH,NEW YORK,OFF. AGNST PUB ORD SENSBLTY &,ANTI-ASIAN,Race/Color,OFF. AGNST PUB ORD SENSBLTY &
2021,4,PATROL BORO MAN SOUTH,NEW YORK,OFF. AGNST PUB ORD SENSBLTY &,ANTI-ASIAN,Race/Color,OFF. AGNST PUB ORD SENSBLTY &
2021,4,PATROL BORO MAN NORTH,NEW YORK,FELONY ASSAULT,ANTI-ASIAN,Race/Color,FELONY ASSAULT
2021,4,PATROL BORO MAN SOUTH,NEW YORK,ROBBERY,ANTI-ASIAN,Race/Color,ROBBERY/BURGLARY
2021,5,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2021,4,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2021,3,PATROL BORO MAN SOUTH,NEW YORK,CRIMINAL MISCHIEF & RELATED OF,ANTI-ASIAN,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2021,5,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-ASIAN,Race/Color,FELONY ASSAULT
2021,5,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice,FELONY ASSAULT
2021,5,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice,FELONY ASSAULT
2021,5,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2021,5,PATROL BORO MAN NORTH,NEW YORK,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,4,PATROL BORO MAN NORTH,NEW YORK,OFF. AGNST PUB ORD SENSBLTY &,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,OFF. AGNST PUB ORD SENSBLTY &
2021,6,PATROL BORO MAN NORTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-GENDER NON-CONFORMING,Gender,ASSAULT 3 & RELATED OFFENSES
2021,6,PATROL BORO MAN NORTH,NEW YORK,FELONY ASSAULT,ANTI-GENDER NON-CONFORMING,Gender,FELONY ASSAULT
2021,6,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-WHITE,Race/Color,ASSAULT 3 & RELATED OFFENSES
2021,5,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice,FELONY ASSAULT
2021,4,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-JEWISH,Religion/Religious Practice,ASSAULT 3 & RELATED OFFENSES
2021,4,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice,FELONY ASSAULT
2021,6,PATROL BORO MAN NORTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2021,6,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2021,6,PATROL BORO MAN NORTH,NEW YORK,CRIMINAL MISCHIEF & RELATED OF,ANTI-CATHOLIC,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2021,5,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice,FELONY ASSAULT
2021,6,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,FELONY ASSAULT
2021,6,PATROL BORO MAN SOUTH,NEW YORK,MISCELLANEOUS PENAL LAW,ANTI-ASIAN,Race/Color,MISCELLANEOUS PENAL LAW
2021,3,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-ASIAN,Race/Color,FELONY ASSAULT
2021,5,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice,FELONY ASSAULT
2021,5,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-JEWISH,Religion/Religious Practice,ASSAULT 3 & RELATED OFFENSES
2021,5,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-JEWISH,Religion/Religious Practice,FELONY ASSAULT
2021,7,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-ASIAN,Race/Color,FELONY ASSAULT
2021,6,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,FELONY ASSAULT
2021,7,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry,FELONY ASSAULT
2021,7,PATROL BORO MAN NORTH,NEW YORK,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,FELONY ASSAULT
2021,7,PATROL BORO MAN NORTH,NEW YORK,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,FELONY ASSAULT
2021,7,PATROL BORO MAN NORTH,NEW YORK,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,FELONY ASSAULT
2021,7,PATROL BORO MAN NORTH,NEW YORK,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,FELONY ASSAULT
2021,5,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2021,5,PATROL BORO MAN SOUTH,NEW YORK,CRIMINAL MISCHIEF & RELATED OF,ANTI-BLACK,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2021,7,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-ASIAN,Race/Color,FELONY ASSAULT
2021,7,PATROL BORO MAN SOUTH,NEW YORK,OFF. AGNST PUB ORD SENSBLTY &,ANTI-ASIAN,Race/Color,OFF. AGNST PUB ORD SENSBLTY &
2021,8,PATROL BORO MAN SOUTH,NEW YORK,CRIMINAL MISCHIEF & RELATED OF,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,CRIMINAL MISCHIEF & RELATED OF
2021,6,PATROL BORO MAN NORTH,NEW YORK,OFF. AGNST PUB ORD SENSBLTY &,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,OFF. AGNST PUB ORD SENSBLTY &
2021,8,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2021,8,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-ASIAN,Race/Color,FELONY ASSAULT
2021,8,PATROL BORO MAN NORTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2021,7,PATROL BORO MAN NORTH,NEW YORK,HARRASSMENT 2,ANTI-ASIAN,Race/Color,HARRASSMENT 2
2021,9,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2021,9,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,FELONY ASSAULT
2021,9,PATROL BORO BKLYN NORTH,KINGS,ROBBERY,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ROBBERY/BURGLARY
2021,6,PATROL BORO MAN SOUTH,NEW YORK,FELONY ASSAULT,ANTI-WHITE,Race/Color,FELONY ASSAULT
2021,9,PATROL BORO MAN SOUTH,NEW YORK,OFF. AGNST PUB ORD SENSBLTY &,ANTI-ASIAN,Race/Color,OFF. AGNST PUB ORD SENSBLTY &
2021,9,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-ASIAN,Race/Color,ASSAULT 3 & RELATED OFFENSES
2021,9,PATROL BORO MAN SOUTH,NEW YORK,ASSAULT 3 & RELATED OFFENSES,ANTI-WHITE,Race/Color,ASSAULT 3 & RELATED OFFENSES
2019,2,PATROL BORO QUEENS NORTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2019,2,PATROL BORO QUEENS NORTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2019,2,PATROL BORO QUEENS NORTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2019,2,PATROL BORO QUEENS NORTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-JEWISH,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2019,4,PATROL BORO QUEENS SOUTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2019,4,PATROL BORO QUEENS SOUTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2019,4,PATROL BORO QUEENS NORTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-TRANSGENDER,Gender,ASSAULT 3 & RELATED OFFENSES
2019,4,PATROL BORO QUEENS SOUTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-BLACK,Race/Color,ASSAULT 3 & RELATED OFFENSES
2019,4,PATROL BORO QUEENS SOUTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-MUSLIM,Religion/Religious Practice,CRIMINAL MISCHIEF & RELATED OF
2019,5,PATROL BORO QUEENS SOUTH,QUEENS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-MUSLIM,Religion/Religious Practice,OFF. AGNST PUB ORD SENSBLTY &
2019,2,PATROL BORO QUEENS SOUTH,QUEENS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-JEWISH,Religion/Religious Practice,OFF. AGNST PUB ORD SENSBLTY &
2019,6,PATROL BORO QUEENS NORTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-TRANSGENDER,Gender,ASSAULT 3 & RELATED OFFENSES
2019,6,PATROL BORO QUEENS NORTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-TRANSGENDER,Gender,ASSAULT 3 & RELATED OFFENSES
2019,6,PATROL BORO QUEENS NORTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-TRANSGENDER,Gender,ASSAULT 3 & RELATED OFFENSES
2019,2,PATROL BORO QUEENS SOUTH,QUEENS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-JEWISH,Religion/Religious Practice,OFF. AGNST PUB ORD SENSBLTY &
2019,10,PATROL BORO QUEENS SOUTH,QUEENS,FELONY ASSAULT,ANTI-TRANSGENDER,Gender,FELONY ASSAULT
2019,9,PATROL BORO QUEENS NORTH,QUEENS,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,FELONY ASSAULT
2019,9,PATROL BORO QUEENS NORTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2019,9,PATROL BORO QUEENS NORTH,QUEENS,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,FELONY ASSAULT
2019,9,PATROL BORO QUEENS NORTH,QUEENS,FELONY ASSAULT,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,FELONY ASSAULT
2019,9,PATROL BORO QUEENS NORTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2019,9,PATROL BORO QUEENS NORTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2020,2,PATROL BORO QUEENS NORTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-TRANSGENDER,Gender,ASSAULT 3 & RELATED OFFENSES
2020,3,PATROL BORO QUEENS NORTH,QUEENS,MISCELLANEOUS PENAL LAW,ANTI-ASIAN,Race/Color,MISCELLANEOUS PENAL LAW
2020,5,PATROL BORO QUEENS NORTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ASSAULT 3 & RELATED OFFENSES
2020,5,PATROL BORO QUEENS NORTH,QUEENS,GRAND LARCENY,60 YRS AND OLDER,Other,GRAND LARCENY
2020,6,PATROL BORO QUEENS SOUTH,QUEENS,FELONY ASSAULT,ANTI-BLACK,Race/Color,FELONY ASSAULT
2020,6,PATROL BORO QUEENS NORTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-RELIGION/RELIGIOUS PRACTICE,Religion/Religious Practice,ASSAULT 3 & RELATED OFFENSES
2020,4,PATROL BORO QUEENS NORTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-ASIAN,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2020,9,PATROL BORO QUEENS SOUTH,QUEENS,MURDER & NON-NEGL. MANSLAUGHTE,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,OTHER FELONY
2020,8,PATROL BORO QUEENS NORTH,QUEENS,FELONY ASSAULT,ANTI-BLACK,Race/Color,FELONY ASSAULT
2020,9,PATROL BORO QUEENS SOUTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-BLACK,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2020,10,PATROL BORO QUEENS NORTH,QUEENS,FELONY ASSAULT,ANTI-MUSLIM,Religion/Religious Practice,FELONY ASSAULT
2020,10,PATROL BORO QUEENS SOUTH,QUEENS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,OFF. AGNST PUB ORD SENSBLTY &
2020,7,PATROL BORO QUEENS SOUTH,QUEENS,HARRASSMENT 2,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,HARRASSMENT 2
2020,8,PATROL BORO QUEENS SOUTH,QUEENS,HARRASSMENT 2,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,HARRASSMENT 2
2020,8,PATROL BORO QUEENS SOUTH,QUEENS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,OFF. AGNST PUB ORD SENSBLTY &
2020,11,PATROL BORO QUEENS NORTH,QUEENS,FELONY ASSAULT,ANTI-MUSLIM,Religion/Religious Practice,FELONY ASSAULT
2021,3,PATROL BORO QUEENS NORTH,QUEENS,MISCELLANEOUS PENAL LAW,ANTI-ASIAN,Race/Color,MISCELLANEOUS PENAL LAW
2021,3,PATROL BORO QUEENS NORTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-ASIAN,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2021,3,PATROL BORO QUEENS NORTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-ASIAN,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2021,3,PATROL BORO QUEENS NORTH,QUEENS,MISCELLANEOUS PENAL LAW,ANTI-ASIAN,Race/Color,MISCELLANEOUS PENAL LAW
2021,3,PATROL BORO QUEENS NORTH,QUEENS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,4,PATROL BORO QUEENS NORTH,QUEENS,ROBBERY,ANTI-MALE HOMOSEXUAL (GAY),Sexual Orientation,ROBBERY/BURGLARY
2021,2,PATROL BORO QUEENS NORTH,QUEENS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,4,PATROL BORO QUEENS NORTH,QUEENS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-ASIAN,Race/Color,OFF. AGNST PUB ORD SENSBLTY &
2021,4,PATROL BORO QUEENS NORTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-TRANSGENDER,Gender,ASSAULT 3 & RELATED OFFENSES
2021,4,PATROL BORO QUEENS NORTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-TRANSGENDER,Gender,ASSAULT 3 & RELATED OFFENSES
2021,1,PATROL BORO QUEENS NORTH,QUEENS,HARRASSMENT 2,ANTI-MUSLIM,Religion/Religious Practice,HARRASSMENT 2
2021,5,PATROL BORO QUEENS SOUTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-OTHER ETHNICITY,Ethnicity/National Origin/Ancestry,ASSAULT 3 & RELATED OFFENSES
2021,9,PATROL BORO QUEENS SOUTH,QUEENS,OFF. AGNST PUB ORD SENSBLTY &,ANTI-WHITE,Race/Color,OFF. AGNST PUB ORD SENSBLTY &
2021,5,PATROL BORO QUEENS NORTH,QUEENS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,5,PATROL BORO QUEENS NORTH,QUEENS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,5,PATROL BORO QUEENS NORTH,QUEENS,MISCELLANEOUS PENAL LAW,ANTI-JEWISH,Religion/Religious Practice,MISCELLANEOUS PENAL LAW
2021,6,PATROL BORO QUEENS NORTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-BLACK,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2021,6,PATROL BORO QUEENS NORTH,QUEENS,CRIMINAL MISCHIEF & RELATED OF,ANTI-BLACK,Race/Color,CRIMINAL MISCHIEF & RELATED OF
2021,6,PATROL BORO QUEENS NORTH,QUEENS,ASSAULT 3 & RELATED OFFENSES,ANTI-TRANSGENDER,Gender,ASSAULT 3 & RELATED OFFENSES
